159	384	352	384	wall	1	1
265	200	265	270	wall	1	1
265	298	265	412	wall	1	1
159	200	209	200	wall	1	1
241	200	352	200	wall	1	1
241	123	241	200	wall	1	1
209	123	302	123	wall	1	1
209	83	209	200	wall	1	1
159	200	159	412	wall	1	1
265	298	302	298	wall	1	1
302	83	302	200	wall	1	1
302	270	302	298	wall	1	1
265	270	302	270	wall	1	1
302	288	352	288	wall	1	1
352	200	352	384	wall	1	1
209	83	302	83	wall	1	1
159	412	265	412	wall	1	1
324	384	324	403	wall	1	1
278	403	324	403	wall	1	1
278	384	278	403	wall	1	1
324	384	324	403	opening	0	1
278	403	324	403	opening	0	1
278	384	278	403	opening	0	1
181	384	246	384	door	1	3
241	156	241	180	door	1	2
213	123	235	123	door	1	0
209	134	209	158	door	1	0
268	298	290	298	door	1	0
271	270	293	270	door	1	0
